Date,Open,High,Low,Close,Adj Close,Volume
2010-08-01,168.977539,209.453400,165.227768,199.925598,186.635666,553640370
2010-09-01,200.845734,220.633484,198.500885,217.289352,206.209488,310944901
2010-10-01,218.654709,239.431854,216.280182,229.340103,217.645767,278723932
2010-11-01,233.416382,266.738953,225.184662,244.368896,231.908218,342619886
2010-12-01,243.389404,273.466797,239.827606,258.893097,245.691833,447726839
2011-01-01,262.722046,264.166534,220.059647,226.975464,215.401703,307123775
2011-02-01,227.846115,248.910187,205.525528,214.251938,203.326965,381410135
2011-03-01,217.467438,249.503815,217.101364,247.020462,234.424576,245955442
2011-04-01,245.566055,257.972992,235.147797,244.744873,232.265015,137608394
2011-05-01,245.664993,246.159698,212.292938,216.735291,205.683701,249846936
2011-06-01,216.873810,217.071686,183.145584,196.729874,186.698364,274212378
2011-07-01,199.856339,214.004593,186.004913,187.607712,178.041367,203722718
2011-08-01,188.973068,191.337708,137.247879,146.884521,142.197159,348450407
2011-09-01,146.884521,165.128830,136.090302,154.393967,149.466965,316023335
2011-10-01,152.365723,205.792664,143.213882,196.344009,190.078308,298988010
2011-11-01,193.029572,200.301559,158.450455,170.966217,165.510376,345905600
2011-12-01,179.079193,193.672668,165.722458,176.803604,171.161484,283707824
2012-01-01,179.029724,242.944183,176.902542,241.163284,233.467331,352841792
2012-02-01,241.262222,289.593811,238.096176,268.074646,259.519867,336056627
2012-03-01,267.035767,294.689178,259.615356,272.329010,263.638489,249919256
2012-04-01,276.929657,317.346130,270.795441,313.190704,303.196198,165241585
2012-05-01,313.190704,313.190704,227.856018,230.527359,223.170822,286660335
2012-06-01,232.506134,249.226791,214.944504,239.877075,232.222168,292362863
2012-07-01,237.205734,245.763931,200.895203,223.848999,216.705566,212725511
2012-08-01,222.167038,247.248016,213.856171,231.813568,228.461334,216136254
2012-09-01,233.693405,286.229889,222.661728,264.710724,260.882751,208710028
2012-10-01,265.155945,280.689331,217.121155,252.046555,248.401718,157591992
2012-11-01,254.272675,282.470215,253.283279,270.548096,266.635681,253231331
2012-12-01,270.102875,310.667786,266.442139,309.332092,304.858856,197050324
2013-01-01,312.646545,333.819458,278.809479,294.837585,290.573944,225884695
2013-02-01,294.639679,308.688995,265.403290,284.498474,280.384369,174962984
2013-03-01,287.911865,308.144836,262.286713,266.293732,262.442841,194468145
2013-04-01,264.117065,297.805725,249.127853,296.816345,292.524109,171287454
2013-05-01,296.816345,316.109406,279.848358,309.975220,305.492676,167882741
2013-06-01,306.462891,314.427460,260.307922,278.314789,274.290070,176856974
2013-07-01,275.049805,300.031860,274.060425,287.417175,283.260834,154362061
